evaluation_id,category,score,model_version,date
eval_0282,instruction_following,76.1,model-v1,2025-02-16
eval_1056,instruction_following,82.3,model-v3,2025-04-25
eval_0239,code,56.0,model-v1,2025-04-22
eval_0224,code,32.0,model-v1,2025-01-19
eval_0146,knowledge,85.4,model-v1,2025-03-12
eval_1119,instruction_following,93.2,model-v3,2025-04-10
eval_0374,tool_calling,73.0,model-v1,2025-04-19
eval_0119,knowledge,65.0,model-v1,2025-02-17
eval_0803,reasoning,86.1,model-v3,2025-05-27
eval_0251,instruction_following,67.3,model-v1,2025-05-12
eval_1157,tool_calling,60.3,model-v3,2025-03-26
eval_0010,reasoning,51.8,model-v1,2025-04-20
eval_0450,reasoning,78.7,model-v2,2025-05-25
eval_0874,reasoning,75.2,model-v3,2025-01-16
eval_0390,tool_calling,45.5,model-v1,2025-04-09
eval_0966,code,74.0,model-v3,2025-04-24
eval_0461,reasoning,89.3,model-v2,2025-02-09
eval_1147,tool_calling,68.0,model-v3,2025-03-09
eval_0145,knowledge,74.3,model-v1,2025-03-07
eval_0502,knowledge,79.0,model-v2,2025-02-08
eval_1108,instruction_following,84.7,model-v3,2025-05-26
eval_0540,knowledge,63.5,model-v2,2025-01-23
eval_0178,code,66.7,model-v1,2025-01-13
eval_1159,tool_calling,76.8,model-v3,2025-04-03
eval_1051,instruction_following,80.6,model-v3,2025-03-23
eval_0584,code,63.3,model-v2,2025-03-22
eval_1195,tool_calling,64.3,model-v3,2025-05-31
eval_0008,reasoning,58.2,model-v1,2025-01-14
eval_0574,code,92.8,model-v2,2025-02-07
eval_0843,reasoning,85.6,model-v3,2025-05-13
eval_0358,tool_calling,46.6,model-v1,2025-02-11
eval_0330,tool_calling,45.3,model-v1,2025-03-22
eval_0705,instruction_following,69.1,model-v2,2025-02-16
eval_0830,reasoning,66.2,model-v3,2025-04-23
eval_0259,instruction_following,79.0,model-v1,2025-03-05
eval_0891,knowledge,96.7,model-v3,2025-01-30
eval_0834,reasoning,93.2,model-v3,2025-03-16
eval_1188,tool_calling,74.6,model-v3,2025-05-21
eval_0905,knowledge,87.9,model-v3,2025-02-27
eval_0526,knowledge,91.1,model-v2,2025-05-01
eval_0814,reasoning,69.4,model-v3,2025-03-01
eval_0732,tool_calling,100.0,model-v2,2025-05-30
eval_1032,code,80.6,model-v3,2025-05-15
eval_1141,tool_calling,66.7,model-v3,2025-02-07
eval_0441,reasoning,66.5,model-v2,2025-02-18
eval_0532,knowledge,86.2,model-v2,2025-01-15
eval_0960,knowledge,68.0,model-v3,2025-04-09
eval_0229,code,50.0,model-v1,2025-03-15
eval_1041,instruction_following,83.3,model-v3,2025-04-03
eval_0213,code,51.2,model-v1,2025-04-20
eval_0080,reasoning,58.3,model-v1,2025-04-09
eval_0149,knowledge,56.3,model-v1,2025-05-08
eval_0592,code,42.8,model-v2,2025-05-22
eval_0708,instruction_following,65.8,model-v2,2025-03-30
eval_0590,code,72.4,model-v2,2025-01-25
eval_0134,knowledge,57.7,model-v1,2025-01-22
eval_0782,tool_calling,61.6,model-v2,2025-03-26
eval_0409,reasoning,76.7,model-v2,2025-02-22
eval_0970,code,79.6,model-v3,2025-02-11
eval_0508,knowledge,82.0,model-v2,2025-03-01
eval_0877,reasoning,88.0,model-v3,2025-03-18
eval_0505,knowledge,73.3,model-v2,2025-01-28
eval_0719,instruction_following,62.1,model-v2,2025-02-25
eval_0348,tool_calling,24.0,model-v1,2025-05-21
eval_0387,tool_calling,52.0,model-v1,2025-04-09
eval_0001,reasoning,65.7,model-v1,2025-03-05
eval_0361,tool_calling,58.7,model-v1,2025-03-21
eval_1134,tool_calling,79.7,model-v3,2025-04-15
eval_0476,reasoning,76.3,model-v2,2025-02-01
eval_0778,tool_calling,59.7,model-v2,2025-04-25
eval_0754,tool_calling,80.4,model-v2,2025-02-13
eval_0173,code,49.5,model-v1,2025-04-07
eval_0451,reasoning,93.6,model-v2,2025-04-22
eval_0126,knowledge,61.0,model-v1,2025-01-04
eval_0931,knowledge,85.7,model-v3,2025-03-18
eval_0531,knowledge,79.0,model-v2,2025-05-22
eval_0091,knowledge,66.1,model-v1,2025-02-14
eval_1162,tool_calling,99.7,model-v3,2025-03-09
eval_0182,code,34.4,model-v1,2025-01-21
eval_1027,code,76.8,model-v3,2025-04-27
eval_1000,code,87.9,model-v3,2025-04-30
eval_0252,instruction_following,66.6,model-v1,2025-03-28
eval_0070,reasoning,59.7,model-v1,2025-04-25
eval_0132,knowledge,74.5,model-v1,2025-01-16
eval_0301,instruction_following,83.8,model-v1,2025-02-15
eval_1133,tool_calling,87.9,model-v3,2025-03-10
eval_0327,tool_calling,49.5,model-v1,2025-03-30
eval_1020,code,85.6,model-v3,2025-01-17
eval_0500,knowledge,64.7,model-v2,2025-05-12
eval_0666,instruction_following,78.2,model-v2,2025-05-22
eval_0919,knowledge,77.8,model-v3,2025-01-23
eval_0496,knowledge,66.7,model-v2,2025-03-31
eval_0339,tool_calling,43.1,model-v1,2025-03-01
eval_0964,code,84.2,model-v3,2025-02-06
eval_0165,code,28.6,model-v1,2025-04-01
eval_0029,reasoning,67.0,model-v1,2025-04-02
eval_0517,knowledge,83.4,model-v2,2025-04-19
eval_0194,code,59.7,model-v1,2025-05-23
eval_1104,instruction_following,83.5,model-v3,2025-01-29
eval_0170,code,82.6,model-v1,2025-01-20
eval_1059,instruction_following,77.0,model-v3,2025-01-19
eval_0174,code,60.1,model-v1,2025-01-15
eval_0519,knowledge,79.6,model-v2,2025-01-23
eval_0969,code,59.0,model-v3,2025-01-28
eval_0702,instruction_following,76.0,model-v2,2025-04-08
eval_0492,knowledge,74.1,model-v2,2025-05-07
eval_0074,reasoning,68.0,model-v1,2025-03-07
eval_0981,code,80.2,model-v3,2025-03-23
eval_0588,code,71.6,model-v2,2025-02-06
eval_0235,code,81.2,model-v1,2025-02-01
eval_0215,code,77.1,model-v1,2025-05-19
eval_0947,knowledge,88.6,model-v3,2025-04-04
eval_0133,knowledge,65.5,model-v1,2025-04-20
eval_1156,tool_calling,77.6,model-v3,2025-04-12
eval_0733,tool_calling,54.8,model-v2,2025-05-09
eval_0941,knowledge,85.0,model-v3,2025-01-17
eval_0186,code,46.7,model-v1,2025-05-01
eval_0042,reasoning,68.5,model-v1,2025-02-10
eval_0109,knowledge,80.7,model-v1,2025-03-27
eval_0849,reasoning,83.3,model-v3,2025-01-09
eval_0569,code,56.4,model-v2,2025-04-09
eval_0651,instruction_following,75.1,model-v2,2025-03-20
eval_1001,code,77.4,model-v3,2025-02-24
eval_1166,tool_calling,72.9,model-v3,2025-01-14
eval_0484,knowledge,65.7,model-v2,2025-01-08
eval_0469,reasoning,52.4,model-v2,2025-04-06
eval_0025,reasoning,56.9,model-v1,2025-02-06
eval_0661,instruction_following,77.0,model-v2,2025-05-26
eval_0680,instruction_following,84.1,model-v2,2025-02-06
eval_0753,tool_calling,76.6,model-v2,2025-05-23
eval_0994,code,96.6,model-v3,2025-04-03
eval_0367,tool_calling,69.4,model-v1,2025-05-13
eval_0840,reasoning,85.2,model-v3,2025-04-29
eval_1053,instruction_following,90.4,model-v3,2025-01-15
eval_0384,tool_calling,35.4,model-v1,2025-04-21
eval_0455,reasoning,77.8,model-v2,2025-01-08
eval_0265,instruction_following,75.0,model-v1,2025-03-08
eval_0761,tool_calling,44.0,model-v2,2025-02-27
eval_0980,code,75.4,model-v3,2025-02-05
eval_0445,reasoning,68.9,model-v2,2025-05-22
eval_0396,tool_calling,56.9,model-v1,2025-02-13
eval_0742,tool_calling,41.4,model-v2,2025-05-13
eval_0177,code,51.3,model-v1,2025-03-29
eval_0019,reasoning,72.5,model-v1,2025-03-17
eval_0949,knowledge,69.2,model-v3,2025-05-09
eval_0815,reasoning,66.8,model-v3,2025-01-16
eval_0596,code,67.2,model-v2,2025-04-28
eval_0062,reasoning,58.0,model-v1,2025-02-16
eval_0273,instruction_following,76.5,model-v1,2025-05-18
eval_1126,tool_calling,65.9,model-v3,2025-01-12
eval_0279,instruction_following,80.3,model-v1,2025-05-24
eval_0842,reasoning,74.2,model-v3,2025-02-19
eval_0369,tool_calling,70.5,model-v1,2025-05-29
eval_0887,knowledge,88.4,model-v3,2025-03-27
eval_1015,code,95.8,model-v3,2025-04-26
eval_0860,reasoning,80.7,model-v3,2025-05-26
eval_0721,tool_calling,48.0,model-v2,2025-04-25
eval_0826,reasoning,75.1,model-v3,2025-03-26
eval_0548,knowledge,65.2,model-v2,2025-05-10
eval_0880,reasoning,78.8,model-v3,2025-03-27
eval_0900,knowledge,83.8,model-v3,2025-02-01
eval_0457,reasoning,72.8,model-v2,2025-03-28
eval_0394,tool_calling,58.6,model-v1,2025-05-29
eval_0676,instruction_following,66.8,model-v2,2025-04-06
eval_0912,knowledge,85.7,model-v3,2025-02-05
eval_0965,code,85.2,model-v3,2025-05-18
eval_0376,tool_calling,32.9,model-v1,2025-05-26
eval_0413,reasoning,64.0,model-v2,2025-01-10
eval_0075,reasoning,63.7,model-v1,2025-02-16
eval_1122,tool_calling,65.9,model-v3,2025-04-14
eval_0863,reasoning,78.3,model-v3,2025-04-30
eval_0501,knowledge,64.9,model-v2,2025-05-07
eval_0942,knowledge,73.0,model-v3,2025-01-14
eval_0617,code,52.8,model-v2,2025-01-23
eval_0115,knowledge,69.5,model-v1,2025-01-20
eval_0418,reasoning,76.9,model-v2,2025-04-29
eval_0602,code,60.4,model-v2,2025-03-21
eval_0605,code,54.9,model-v2,2025-05-05
eval_0090,knowledge,60.7,model-v1,2025-01-19
eval_1149,tool_calling,57.0,model-v3,2025-01-24
eval_0499,knowledge,81.9,model-v2,2025-05-08
eval_0876,reasoning,81.0,model-v3,2025-05-03
eval_0927,knowledge,86.5,model-v3,2025-04-10
eval_0999,code,82.1,model-v3,2025-03-18
eval_0012,reasoning,71.3,model-v1,2025-03-11
eval_0397,tool_calling,52.7,model-v1,2025-05-05
eval_0755,tool_calling,78.8,model-v2,2025-02-08
eval_0556,knowledge,75.1,model-v2,2025-04-21
eval_0043,reasoning,54.0,model-v1,2025-04-26
eval_0168,code,35.7,model-v1,2025-05-10
eval_0417,reasoning,52.5,model-v2,2025-03-30
eval_0577,code,66.8,model-v2,2025-01-21
eval_0268,instruction_following,62.7,model-v1,2025-01-23
eval_0808,reasoning,87.5,model-v3,2025-04-12
eval_0427,reasoning,64.2,model-v2,2025-02-08
eval_0691,instruction_following,85.1,model-v2,2025-05-31
eval_0545,knowledge,87.2,model-v2,2025-04-13
eval_1123,tool_calling,77.9,model-v3,2025-04-08
eval_0675,instruction_following,82.7,model-v2,2025-03-08
eval_0690,instruction_following,81.8,model-v2,2025-04-23
eval_1055,instruction_following,84.0,model-v3,2025-03-23
eval_1177,tool_calling,88.6,model-v3,2025-03-12
eval_1033,code,64.3,model-v3,2025-01-25
eval_1035,code,64.0,model-v3,2025-01-20
eval_0258,instruction_following,81.6,model-v1,2025-02-15
eval_0336,tool_calling,53.9,model-v1,2025-05-19
eval_0016,reasoning,51.7,model-v1,2025-03-17
eval_0902,knowledge,84.3,model-v3,2025-05-28
eval_0325,tool_calling,51.6,model-v1,2025-02-28
eval_0608,code,43.4,model-v2,2025-01-20
eval_1054,instruction_following,90.7,model-v3,2025-04-04
eval_0791,tool_calling,63.9,model-v2,2025-03-10
eval_0223,code,80.9,model-v1,2025-05-08
eval_0180,code,49.4,model-v1,2025-05-22
eval_0100,knowledge,99.1,model-v1,2025-05-02
eval_0522,knowledge,75.1,model-v2,2025-03-19
eval_0023,reasoning,76.7,model-v1,2025-01-26
eval_0357,tool_calling,49.6,model-v1,2025-03-04
eval_0734,tool_calling,83.1,model-v2,2025-01-21
eval_1094,instruction_following,96.0,model-v3,2025-05-18
eval_1112,instruction_following,100.0,model-v3,2025-05-19
eval_0612,code,66.7,model-v2,2025-05-24
eval_1010,code,74.9,model-v3,2025-03-16
eval_0341,tool_calling,18.7,model-v1,2025-01-02
eval_0432,reasoning,64.2,model-v2,2025-04-29
eval_0962,code,86.1,model-v3,2025-03-01
eval_0218,code,57.6,model-v1,2025-03-16
eval_0204,code,28.8,model-v1,2025-01-26
eval_0906,knowledge,67.0,model-v3,2025-03-19
eval_0923,knowledge,76.1,model-v3,2025-02-25
eval_0094,knowledge,67.8,model-v1,2025-04-15
eval_0911,knowledge,96.9,model-v3,2025-01-07
eval_0069,reasoning,72.3,model-v1,2025-01-03
eval_0895,knowledge,91.5,model-v3,2025-01-14
eval_0285,instruction_following,72.4,model-v1,2025-04-29
eval_0697,instruction_following,75.7,model-v2,2025-04-05
eval_0086,knowledge,73.6,model-v1,2025-01-20
eval_0435,reasoning,66.5,model-v2,2025-01-26
eval_0797,tool_calling,35.0,model-v2,2025-02-24
eval_0154,knowledge,84.6,model-v1,2025-05-06
eval_0076,reasoning,70.3,model-v1,2025-04-05
eval_1043,instruction_following,79.4,model-v3,2025-02-07
eval_0581,code,79.1,model-v2,2025-04-23
eval_0447,reasoning,77.4,model-v2,2025-01-22
eval_0704,instruction_following,82.0,model-v2,2025-02-13
eval_0189,code,57.3,model-v1,2025-03-09
eval_0272,instruction_following,78.7,model-v1,2025-03-03
eval_0237,code,67.4,model-v1,2025-04-21
eval_0488,knowledge,60.9,model-v2,2025-02-14
eval_1160,tool_calling,44.8,model-v3,2025-01-12
eval_0560,knowledge,65.3,model-v2,2025-02-27
eval_0118,knowledge,79.8,model-v1,2025-04-11
eval_0638,code,59.9,model-v2,2025-03-02
eval_1128,tool_calling,54.2,model-v3,2025-04-26
eval_0751,tool_calling,85.1,model-v2,2025-03-13
eval_0513,knowledge,85.7,model-v2,2025-04-26
eval_0634,code,73.1,model-v2,2025-04-02
eval_0786,tool_calling,59.3,model-v2,2025-02-10
eval_1007,code,89.4,model-v3,2025-03-29
eval_0853,reasoning,86.2,model-v3,2025-03-07
eval_0127,knowledge,79.3,model-v1,2025-04-01
eval_0117,knowledge,71.3,model-v1,2025-03-18
eval_0474,reasoning,52.2,model-v2,2025-04-16
eval_0741,tool_calling,43.4,model-v2,2025-01-28
eval_0993,code,78.0,model-v3,2025-03-13
eval_0058,reasoning,79.9,model-v1,2025-03-10
eval_0604,code,71.6,model-v2,2025-03-23
eval_0787,tool_calling,53.4,model-v2,2025-01-20
eval_0971,code,76.1,model-v3,2025-02-25
eval_0657,instruction_following,71.0,model-v2,2025-03-23
eval_0903,knowledge,69.3,model-v3,2025-05-04
eval_0922,knowledge,84.6,model-v3,2025-03-27
eval_0106,knowledge,65.8,model-v1,2025-01-20
eval_0636,code,66.1,model-v2,2025-03-12
eval_0370,tool_calling,40.9,model-v1,2025-04-25
eval_0269,instruction_following,59.6,model-v1,2025-03-11
eval_0656,instruction_following,80.0,model-v2,2025-01-04
eval_0047,reasoning,72.5,model-v1,2025-02-09
eval_0350,tool_calling,39.3,model-v1,2025-03-09
eval_0774,tool_calling,49.2,model-v2,2025-02-09
eval_0196,code,86.4,model-v1,2025-02-08
eval_0103,knowledge,48.7,model-v1,2025-01-13
eval_0005,reasoning,38.6,model-v1,2025-02-20
eval_0620,code,84.2,model-v2,2025-03-25
eval_0991,code,75.7,model-v3,2025-04-05
eval_0053,reasoning,44.5,model-v1,2025-01-12
eval_0264,instruction_following,69.9,model-v1,2025-04-09
eval_1093,instruction_following,86.7,model-v3,2025-05-26
eval_0444,reasoning,67.9,model-v2,2025-03-19
eval_0972,code,72.2,model-v3,2025-01-20
eval_0783,tool_calling,59.6,model-v2,2025-01-24
eval_0847,reasoning,68.2,model-v3,2025-05-09
eval_0692,instruction_following,80.0,model-v2,2025-04-26
eval_0305,instruction_following,74.8,model-v1,2025-01-23
eval_0342,tool_calling,42.6,model-v1,2025-02-21
eval_0867,reasoning,72.0,model-v3,2025-05-21
eval_0314,instruction_following,77.5,model-v1,2025-04-08
eval_0150,knowledge,86.5,model-v1,2025-01-03
eval_0125,knowledge,78.4,model-v1,2025-03-17
eval_1063,instruction_following,86.1,model-v3,2025-01-16
eval_0575,code,68.5,model-v2,2025-05-13
eval_0698,instruction_following,84.1,model-v2,2025-03-10
eval_0665,instruction_following,76.7,model-v2,2025-01-27
eval_0051,reasoning,65.5,model-v1,2025-04-22
eval_0727,tool_calling,59.8,model-v2,2025-01-07
eval_0800,tool_calling,72.7,model-v2,2025-02-02
eval_0354,tool_calling,55.4,model-v1,2025-04-01
eval_1153,tool_calling,68.9,model-v3,2025-02-19
eval_0143,knowledge,65.9,model-v1,2025-04-22
eval_0471,reasoning,61.1,model-v2,2025-04-28
eval_0654,instruction_following,82.3,model-v2,2025-04-14
eval_0400,tool_calling,43.1,model-v1,2025-04-24
eval_1154,tool_calling,100.0,model-v3,2025-04-15
eval_0938,knowledge,68.1,model-v3,2025-05-24
eval_0321,tool_calling,65.0,model-v1,2025-02-16
eval_0020,reasoning,61.4,model-v1,2025-04-16
eval_0685,instruction_following,86.0,model-v2,2025-02-17
eval_0036,reasoning,75.5,model-v1,2025-05-26
eval_0825,reasoning,88.9,model-v3,2025-05-18
eval_0506,knowledge,77.5,model-v2,2025-03-25
eval_0828,reasoning,72.9,model-v3,2025-01-05
eval_1071,instruction_following,76.2,model-v3,2025-05-29
eval_0408,reasoning,51.5,model-v2,2025-01-24
eval_0818,reasoning,79.0,model-v3,2025-03-29
eval_0538,knowledge,75.8,model-v2,2025-04-14
eval_0759,tool_calling,47.6,model-v2,2025-04-23
eval_1069,instruction_following,84.9,model-v3,2025-01-29
eval_0893,knowledge,85.0,model-v3,2025-05-07
eval_0039,reasoning,52.1,model-v1,2025-03-16
eval_0176,code,40.2,model-v1,2025-04-20
eval_0246,instruction_following,77.5,model-v1,2025-03-11
eval_0811,reasoning,67.7,model-v3,2025-04-10
eval_1085,instruction_following,81.8,model-v3,2025-04-12
eval_1078,instruction_following,88.9,model-v3,2025-02-13
eval_0785,tool_calling,50.5,model-v2,2025-04-24
eval_1185,tool_calling,76.0,model-v3,2025-01-13
eval_0490,knowledge,71.8,model-v2,2025-04-11
eval_0155,knowledge,58.9,model-v1,2025-02-07
eval_0639,code,94.8,model-v2,2025-03-21
eval_0663,instruction_following,86.4,model-v2,2025-02-24
eval_0854,reasoning,95.5,model-v3,2025-04-28
eval_0288,instruction_following,70.5,model-v1,2025-04-06
eval_0626,code,62.7,model-v2,2025-01-05
eval_1200,tool_calling,57.9,model-v3,2025-03-19
eval_0686,instruction_following,90.8,model-v2,2025-05-08
eval_0873,reasoning,97.4,model-v3,2025-01-18
eval_0570,code,63.8,model-v2,2025-03-04
eval_1144,tool_calling,78.2,model-v3,2025-03-25
eval_0735,tool_calling,66.4,model-v2,2025-05-30
eval_0793,tool_calling,61.8,model-v2,2025-04-07
eval_0018,reasoning,50.5,model-v1,2025-01-23
eval_0128,knowledge,73.8,model-v1,2025-03-25
eval_0323,tool_calling,48.1,model-v1,2025-01-19
eval_0256,instruction_following,86.0,model-v1,2025-05-23
eval_0944,knowledge,92.0,model-v3,2025-02-04
eval_1180,tool_calling,100.0,model-v3,2025-04-25
eval_0191,code,55.8,model-v1,2025-05-31
eval_0116,knowledge,87.7,model-v1,2025-03-15
eval_1174,tool_calling,68.1,model-v3,2025-02-05
eval_0889,knowledge,85.2,model-v3,2025-04-20
eval_0607,code,68.8,model-v2,2025-02-24
eval_0181,code,53.0,model-v1,2025-04-20
eval_0302,instruction_following,85.9,model-v1,2025-03-05
eval_0497,knowledge,88.2,model-v2,2025-01-24
eval_0349,tool_calling,0.6,model-v1,2025-04-15
eval_1036,code,70.8,model-v3,2025-03-02
eval_0983,code,93.7,model-v3,2025-01-09
eval_0745,tool_calling,54.7,model-v2,2025-05-25
eval_1152,tool_calling,80.3,model-v3,2025-01-21
eval_0518,knowledge,91.2,model-v2,2025-05-29
eval_0373,tool_calling,52.1,model-v1,2025-03-19
eval_0046,reasoning,64.6,model-v1,2025-04-28
eval_0477,reasoning,65.3,model-v2,2025-05-28
eval_0158,knowledge,66.1,model-v1,2025-02-05
eval_1047,instruction_following,79.9,model-v3,2025-03-20
eval_0172,code,37.4,model-v1,2025-04-03
eval_0017,reasoning,66.4,model-v1,2025-05-22
eval_0512,knowledge,84.0,model-v2,2025-04-20
eval_0049,reasoning,70.1,model-v1,2025-04-30
eval_0192,code,55.0,model-v1,2025-05-01
eval_0547,knowledge,76.8,model-v2,2025-05-19
eval_0516,knowledge,75.9,model-v2,2025-04-25
eval_0978,code,61.7,model-v3,2025-02-25
eval_0939,knowledge,88.9,model-v3,2025-01-20
eval_0829,reasoning,53.5,model-v3,2025-02-20
eval_0984,code,73.6,model-v3,2025-05-21
eval_0481,knowledge,80.8,model-v2,2025-01-28
eval_1129,tool_calling,76.8,model-v3,2025-02-01
eval_0284,instruction_following,67.7,model-v1,2025-03-06
eval_1030,code,73.1,model-v3,2025-05-12
eval_0798,tool_calling,55.4,model-v2,2025-01-01
eval_0940,knowledge,79.0,model-v3,2025-02-22
eval_0226,code,50.1,model-v1,2025-01-18
eval_0027,reasoning,68.4,model-v1,2025-04-14
eval_0283,instruction_following,78.8,model-v1,2025-04-03
eval_1150,tool_calling,68.1,model-v3,2025-04-05
eval_0438,reasoning,44.5,model-v2,2025-01-16
eval_1168,tool_calling,45.4,model-v3,2025-02-03
eval_0365,tool_calling,32.5,model-v1,2025-05-02
eval_0230,code,74.5,model-v1,2025-04-10
eval_0038,reasoning,51.9,model-v1,2025-05-18
eval_0670,instruction_following,70.7,model-v2,2025-02-18
eval_0750,tool_calling,80.2,model-v2,2025-02-03
eval_1181,tool_calling,89.7,model-v3,2025-05-26
eval_0375,tool_calling,42.2,model-v1,2025-02-12
eval_0470,reasoning,70.8,model-v2,2025-02-28
eval_0883,knowledge,91.9,model-v3,2025-01-18
eval_1182,tool_calling,76.3,model-v3,2025-03-13
eval_0688,instruction_following,89.5,model-v2,2025-05-28
eval_0033,reasoning,55.9,model-v1,2025-02-21
eval_1011,code,75.2,model-v3,2025-03-16
eval_1176,tool_calling,57.6,model-v3,2025-05-06
eval_0195,code,53.5,model-v1,2025-01-14
eval_1106,instruction_following,87.0,model-v3,2025-05-01
eval_1114,instruction_following,87.3,model-v3,2025-05-29
eval_1064,instruction_following,90.1,model-v3,2025-04-20
eval_0504,knowledge,79.9,model-v2,2025-04-03
eval_0916,knowledge,75.6,model-v3,2025-01-24
eval_0977,code,81.0,model-v3,2025-05-10
eval_1183,tool_calling,62.8,model-v3,2025-03-23
eval_1088,instruction_following,83.8,model-v3,2025-03-29
eval_0801,reasoning,76.8,model-v3,2025-03-21
eval_0580,code,100.0,model-v2,2025-05-13
eval_0161,code,39.1,model-v1,2025-01-27
eval_0681,instruction_following,67.8,model-v2,2025-03-02
eval_1198,tool_calling,94.2,model-v3,2025-01-11
eval_0163,code,41.8,model-v1,2025-01-06
eval_0822,reasoning,71.2,model-v3,2025-01-06
eval_0706,instruction_following,90.5,model-v2,2025-02-08
eval_1009,code,52.1,model-v3,2025-03-12
eval_0878,reasoning,75.5,model-v3,2025-03-14
eval_0896,knowledge,75.9,model-v3,2025-01-06
eval_0914,knowledge,100.0,model-v3,2025-01-08
eval_1199,tool_calling,81.6,model-v3,2025-03-03
eval_0153,knowledge,66.2,model-v1,2025-02-13
eval_0979,code,92.8,model-v3,2025-05-17
eval_1003,code,62.0,model-v3,2025-04-25
eval_0510,knowledge,60.4,model-v2,2025-04-13
eval_0112,knowledge,59.6,model-v1,2025-03-02
eval_0227,code,54.1,model-v1,2025-04-19
eval_0986,code,73.4,model-v3,2025-03-17
eval_0852,reasoning,85.7,model-v3,2025-01-25
eval_0104,knowledge,72.7,model-v1,2025-04-22
eval_0422,reasoning,75.9,model-v2,2025-03-13
eval_0420,reasoning,73.6,model-v2,2025-03-08
eval_0625,code,60.7,model-v2,2025-05-13
eval_0587,code,68.4,model-v2,2025-02-20
eval_1061,instruction_following,80.6,model-v3,2025-01-25
eval_0920,knowledge,73.7,model-v3,2025-01-30
eval_0673,instruction_following,67.7,model-v2,2025-04-17
eval_0120,knowledge,58.2,model-v1,2025-05-25
eval_0054,reasoning,58.2,model-v1,2025-01-15
eval_0152,knowledge,68.2,model-v1,2025-01-17
eval_0404,reasoning,66.3,model-v2,2025-02-06
eval_1189,tool_calling,72.2,model-v3,2025-05-21
eval_0208,code,47.9,model-v1,2025-03-28
eval_1135,tool_calling,65.6,model-v3,2025-04-09
eval_0659,instruction_following,78.7,model-v2,2025-04-16
eval_1097,instruction_following,92.9,model-v3,2025-04-27
eval_0233,code,72.7,model-v1,2025-05-20
eval_0009,reasoning,61.8,model-v1,2025-04-27
eval_0160,knowledge,68.4,model-v1,2025-03-22
eval_0037,reasoning,60.6,model-v1,2025-02-25
eval_0453,reasoning,67.3,model-v2,2025-02-14
eval_0652,instruction_following,96.9,model-v2,2025-03-02
eval_0254,instruction_following,81.6,model-v1,2025-01-22
eval_0304,instruction_following,86.2,model-v1,2025-03-13
eval_0897,knowledge,77.5,model-v3,2025-02-17
eval_1049,instruction_following,82.4,model-v3,2025-05-10
eval_0881,knowledge,62.2,model-v3,2025-01-30
eval_0572,code,91.9,model-v2,2025-03-09
eval_0624,code,57.2,model-v2,2025-02-08
eval_1145,tool_calling,73.2,model-v3,2025-02-12
eval_1031,code,64.9,model-v3,2025-01-18
eval_1146,tool_calling,86.3,model-v3,2025-04-04
eval_0263,instruction_following,88.4,model-v1,2025-02-08
eval_0611,code,65.1,model-v2,2025-01-28
eval_0298,instruction_following,80.7,model-v1,2025-02-17
eval_0990,code,93.1,model-v3,2025-05-11
eval_0415,reasoning,79.4,model-v2,2025-02-07
eval_0151,knowledge,87.2,model-v1,2025-04-11
eval_0946,knowledge,69.9,model-v3,2025-03-08
eval_0473,reasoning,70.1,model-v2,2025-05-16
eval_0953,knowledge,83.4,model-v3,2025-01-19
eval_0988,code,75.8,model-v3,2025-04-08
eval_0779,tool_calling,60.4,model-v2,2025-01-16
eval_0641,instruction_following,81.7,model-v2,2025-03-29
eval_1190,tool_calling,56.3,model-v3,2025-03-16
eval_1143,tool_calling,68.0,model-v3,2025-02-21
eval_0551,knowledge,63.3,model-v2,2025-02-06
eval_0640,code,65.1,model-v2,2025-03-22
eval_0936,knowledge,79.0,model-v3,2025-05-11
eval_0929,knowledge,84.8,model-v3,2025-05-01
eval_0489,knowledge,81.2,model-v2,2025-02-21
eval_0820,reasoning,73.3,model-v3,2025-01-01
eval_0711,instruction_following,79.4,model-v2,2025-02-13
eval_1081,instruction_following,73.7,model-v3,2025-05-30
eval_0148,knowledge,57.8,model-v1,2025-04-29
eval_0147,knowledge,71.8,model-v1,2025-04-06
eval_1175,tool_calling,82.9,model-v3,2025-05-08
eval_0963,code,87.1,model-v3,2025-04-19
eval_0346,tool_calling,62.3,model-v1,2025-01-04
eval_0403,reasoning,56.9,model-v2,2025-05-10
eval_0932,knowledge,79.0,model-v3,2025-05-01
eval_0955,knowledge,93.8,model-v3,2025-03-05
eval_1125,tool_calling,78.7,model-v3,2025-05-14
eval_0660,instruction_following,68.1,model-v2,2025-05-13
eval_0464,reasoning,74.5,model-v2,2025-02-17
eval_0187,code,62.1,model-v1,2025-03-03
eval_0609,code,42.5,model-v2,2025-02-24
eval_0144,knowledge,81.1,model-v1,2025-05-02
eval_0752,tool_calling,69.9,model-v2,2025-04-10
eval_0982,code,100.0,model-v3,2025-04-26
eval_0198,code,60.8,model-v1,2025-03-31
eval_0884,knowledge,59.8,model-v3,2025-01-14
eval_0280,instruction_following,75.2,model-v1,2025-02-11
eval_0294,instruction_following,62.3,model-v1,2025-02-02
eval_1089,instruction_following,79.9,model-v3,2025-05-10
eval_0401,reasoning,66.3,model-v2,2025-01-04
eval_0123,knowledge,91.3,model-v1,2025-05-26
eval_0203,code,62.2,model-v1,2025-01-26
eval_0836,reasoning,92.9,model-v3,2025-03-12
